50
88
1,Aachen,6.04,50.76,245885
2,Augsburg,10.9,48.33,286374
3,Bayreuth,11.59,49.93,72295
4,Berlin,13.39,52.52,3575000
5,Bielefeld,8.5,52.04,333090
6,Braunschweig,10.55,52.28,251364
7,Bremen,8.85,53.11,557464
8,Bremerhaven,8.58,53.54,114025
9,Chemnitz,12.93,50.84,243521
10,Darmstadt,8.65,49.89,155353
11,Dortmund,7.45,51.51,585813
12,Dresden,13.73,51.03,543825
13,Duesseldorf,6.77,51.25,612178
14,Erfurt,11.04,50.98,210118
15,Essen,7.02,51.46,582624
16,Flensburg,9.45,54.77,85942
17,Frankfurt,8.71,50.12,736414
18,Freiburg,7.8,47.98,22759
19,Fulda,9.69,50.56,22117
20,Giessen,8.67,50.57,83628
21,Greifswald,13.4,54.09,55659
22,Hamburg,9.99,53.57,1810000
23,Hannover,9.72,52.38,532163
24,Kaiserslautern,7.75,49.43,100569
25,Karlsruhe,8.41,49.01,307755
26,Kassel,9.51,51.32,197984
27,Kempten,10.32,47.72,67529
28,Kiel,10.12,54.34,246306
29,Koblenz,7.52,50.4,112586
30,Koeln,6.87,50.94,1061000
31,Konstanz,9.18,47.66,282191
32,Leipzig,12.38,51.34,560472
33,Magdeburg,11.64,52.14,235723
34,Mannheim,8.49,49.49,305780
35,Muenchen,11.57,48.15,1450000
36,Muenster,7.6,51.97,310039
37,Norden,7.21,53.6,25099
38,Nuernberg,11.03,49.57,509975
39,Oldenburg,8.21,53.11,165711
40,Osnabrueck,8.03,52.28,162403
41,Passau,13.46,48.57,51781
42,Regensburg,12.09,49,145465
43,Saarbruecken,7.03,49.23,178151
44,Schwerin,11.45,53.55,95668
45,Siegen,8.03,50.91,102355
46,Stuttgart,9.1,48.74,628032
47,Trier,6.68,49.75,110636
48,Ulm,9.99,48.4,122636
49,Wesel,6.37,51.39,60750
50,Wuerzburg,9.97,49.78,124873
1,1,30,62,
2,1,47,121,
3,1,49,74,
4,2,48,68,
5,2,35,54,
6,2,50,175,
7,3,9,139,
8,3,32,166,
9,3,38,57,
10,4,12,167,
11,4,21,175,
12,4,32,148,
13,4,33,126,
14,4,44,173,
15,5,6,142,
16,5,23,91,
17,5,36,62,
18,5,45,130,
19,6,22,148,
20,6,23,57,
21,6,26,128,
22,6,33,76,
23,7,8,51,
24,7,23,100,
25,7,39,43,
26,8,16,148,
27,9,12,60,
28,9,14,133,
29,10,17,26,
30,10,24,83,
31,10,34,46,
32,11,15,30,
33,11,26,144,
34,11,36,52,
35,11,45,78,
36,12,14,188,
37,12,32,100,
38,13,15,29,
39,13,30,35,
40,14,26,113,
41,14,32,102,
42,14,50,153,
43,15,49,46,
44,16,28,64,
45,17,19,85,
46,17,20,50,
47,17,29,90,
48,18,25,123,
49,18,31,109,
50,19,20,72,
51,19,26,85,
52,19,50,89,
53,20,26,102,
54,20,45,59,
55,21,44,141,
56,22,23,134,
57,22,28,86,
58,22,44,96,
59,23,40,115,
60,24,25,67,
61,24,29,109,
62,24,43,57,
63,25,34,54,
64,25,43,103,
65,25,46,59,
66,27,31,86,
67,27,35,105,
68,28,44,124,
69,29,30,76,
70,29,45,67,
71,29,47,94,
72,31,46,120,
73,32,33,103,
74,33,44,157,
75,35,38,163,
76,35,41,147,
77,35,42,102,
78,36,40,45,
79,37,39,86,
80,37,49,252,
81,38,42,100,
82,38,50,80,
83,39,40,93,
84,39,49,229,
85,41,42,111,
86,43,47,63,
87,46,48,76,
88,46,50,132,
